iter	Logloss
0	0.6884507131
1	0.6834775386
2	0.678680906
3	0.6753438331
4	0.6708371309
5	0.6664420053
6	0.6626917467
7	0.6584933994
8	0.6548509112
9	0.6507333937
10	0.6470496022
11	0.643222967
12	0.6400000528
13	0.6361746175
14	0.6320113123
15	0.6282777608
16	0.6251809176
17	0.6224522678
18	0.6191544863
19	0.6161391408
20	0.6145122241
21	0.6119986029
22	0.6090611256
23	0.6060913486
24	0.6037947766
25	0.6008912399
26	0.5991495862
27	0.5962270018
28	0.5937505439
29	0.5919219041
30	0.5892521586
31	0.5872047761
32	0.5851646241
33	0.583183968
34	0.58044689
35	0.5784103965
36	0.576160135
37	0.5740807906
38	0.5719189776
39	0.5700027617
40	0.5686967418
41	0.5666778275
42	0.5647846901
43	0.563230562
44	0.5613908595
45	0.559441693
46	0.5577974907
47	0.5560580416
48	0.5542954091
49	0.5527357062
50	0.5509412534
51	0.5492558313
52	0.5475753372
53	0.5462577199
54	0.5451609452
55	0.5441188495
56	0.5426346034
57	0.54093411
58	0.5395673725
59	0.5381363598
60	0.5370739516
61	0.5355827609
62	0.5344391699
63	0.533309676
64	0.5321976623
65	0.530804088
66	0.5292870653
67	0.5280188786
68	0.5269130691
69	0.5258032459
70	0.5247722674
71	0.5237339715
72	0.5226798442
73	0.5218677745
74	0.5209026511
75	0.5198134607
76	0.5189260289
77	0.5181113747
78	0.517219001
79	0.5164250897
80	0.5154957168
81	0.5144989793
82	0.5136574533
83	0.5127554346
84	0.5118082389
85	0.5106746164
86	0.5097934641
87	0.5088821809
88	0.508365974
89	0.5076548868
90	0.50686185
91	0.5060333527
92	0.5050803546
93	0.5043035292
94	0.5035124893
95	0.5027934382
96	0.5022490172
97	0.5013825595
98	0.5008532902
99	0.5001270697
100	0.499475943
101	0.4989399524
102	0.4982660986
103	0.4976475292
104	0.4972495501
105	0.4966135657
106	0.4958312635
107	0.4953419023
108	0.4947380106
109	0.4942697104
110	0.4939124936
111	0.4932375218
112	0.4923845942
113	0.4919645899
114	0.4915355263
115	0.4910330948
116	0.4906628556
117	0.4903020818
118	0.4897663963
119	0.4892646235
120	0.488644159
121	0.4879447644
122	0.4873859622
123	0.4869587894
124	0.4866562529
125	0.4859844281
126	0.4854648919
127	0.4849425524
128	0.4844756131
129	0.4839516738
130	0.4835542007
131	0.48304586
132	0.482551673
133	0.4818894576
134	0.4814691655
135	0.4807784534
136	0.4801990267
137	0.4799748505
138	0.479421305
139	0.4789146888
140	0.4785440756
141	0.4782246041
142	0.477926461
143	0.4775707773
144	0.4772276832
145	0.476537271
146	0.4759779326
147	0.4755576241
148	0.4752560103
149	0.4748100232
150	0.4744026014
151	0.4741628217
152	0.4738822598
153	0.4738479289
154	0.4732827143
155	0.4729794367
156	0.4726051488
157	0.4722118492
158	0.4718017899
159	0.4715031907
160	0.4710617971
161	0.4707448818
162	0.4701335904
163	0.4697523922
164	0.4693119038
165	0.4689097587
166	0.4686241032
167	0.4681890306
168	0.4679118297
169	0.4675622838
170	0.4672674878
171	0.466924511
172	0.4667533455
173	0.466549536
174	0.4664428359
175	0.4661251137
176	0.4657641487
177	0.4654347899
178	0.4650922621
179	0.4646565515
180	0.4641842101
181	0.4638935213
182	0.4636379589
183	0.4631116777
184	0.4625742685
185	0.4623865025
186	0.4621663222
187	0.4617977324
188	0.4614459033
189	0.461125988
190	0.4606824995
191	0.4599730711
192	0.4597575907
193	0.4594831929
194	0.4593334055
195	0.4586937529
196	0.4584778551
197	0.4584644885
198	0.4580456709
199	0.4577765931
200	0.4571792965
201	0.4567717618
202	0.4563810516
203	0.4560649485
204	0.4557288709
205	0.4554110949
206	0.4550110733
207	0.4548157506
208	0.4545551194
209	0.4542836226
210	0.4540547643
211	0.4538586009
212	0.4534005346
213	0.4530110453
214	0.4529868455
215	0.4527432201
216	0.4525619766
217	0.4522467204
218	0.4515995435
219	0.4511800058
220	0.4509467327
221	0.4506186767
222	0.4503186069
223	0.4500901319
224	0.4498569541
225	0.44978535
226	0.4494917528
227	0.4492584683
228	0.4488651155
229	0.4486414906
230	0.448438386
231	0.4482259348
232	0.4480683466
233	0.4474763729
234	0.4472567433
235	0.4468282359
236	0.4465268098
237	0.4462802417
238	0.4460653636
239	0.4458241797
240	0.4456109948
241	0.4452839766
242	0.4450904078
243	0.4447277179
244	0.4443539379
245	0.44408005
246	0.4436117908
247	0.4432268458
248	0.4430797102
249	0.4429858951
250	0.4426435345
251	0.4423894908
252	0.4422724693
253	0.4421228415
254	0.4420062523
255	0.4417780952
256	0.4414177311
257	0.4412172019
258	0.4409757756
259	0.4408917686
260	0.440678225
261	0.4404907986
262	0.4404067306
263	0.440073955
264	0.4399335548
265	0.4396559482
266	0.4394978538
267	0.4392364431
268	0.4390655565
269	0.4388700448
270	0.4386829712
271	0.4384062272
272	0.4382812401
273	0.4380458198
274	0.4376989452
275	0.4374995861
276	0.4371722206
277	0.436810144
278	0.4367639773
279	0.4367253271
280	0.4364771577
281	0.4363294263
282	0.4361085408
283	0.4357173694
284	0.4353973532
285	0.4352392657
286	0.4349934992
287	0.4349636218
288	0.4346455707
289	0.4344008227
290	0.4342610591
291	0.4339853072
292	0.433654757
293	0.4332400906
294	0.4327906716
295	0.4324710724
296	0.432153356
297	0.4320266191
298	0.4315763168
299	0.4311318622
300	0.4309361086
301	0.4308559694
302	0.4304465736
303	0.4302673946
304	0.4302122327
305	0.4300971517
306	0.4299023896
307	0.4296440778
308	0.4294391198
309	0.4294243838
310	0.429022652
311	0.4288028888
312	0.4287385147
313	0.4284953534
314	0.4282060332
315	0.4278713971
316	0.4275645946
317	0.4271654383
318	0.4269596502
319	0.4266999187
320	0.426549402
321	0.4263849592
322	0.4260121026
323	0.4257675687
324	0.4255820309
325	0.4253225851
326	0.4252039448
327	0.4250389552
328	0.4249194022
329	0.4248243389
330	0.4246294899
331	0.4242730547
332	0.4240553827
333	0.4239887968
334	0.4238303515
335	0.4235308544
336	0.4233588412
337	0.4231737143
338	0.4230612337
339	0.4228063141
340	0.4225987776
341	0.4224542854
342	0.4223885127
343	0.4222463432
