iter	Passed	Remaining
0	1	1789
1	4	2001
2	6	2102
3	8	2064
4	10	2049
5	12	2034
6	14	2046
7	15	1970
8	16	1869
9	18	1790
10	18	1689
11	19	1626
12	20	1571
13	21	1532
14	22	1497
15	24	1516
16	26	1510
17	27	1499
18	28	1493
19	30	1510
20	31	1469
21	33	1483
22	34	1479
23	36	1481
24	37	1478
25	39	1472
26	39	1439
27	41	1449
28	43	1446
29	44	1445
30	45	1432
31	47	1451
32	49	1451
33	52	1478
34	55	1531
35	57	1552
36	59	1544
37	60	1536
38	62	1529
39	64	1536
40	65	1542
41	67	1531
42	68	1530
43	70	1521
44	71	1525
45	73	1514
46	74	1503
47	75	1491
48	76	1489
49	78	1484
50	79	1473
51	80	1462
52	81	1451
53	82	1441
54	83	1439
55	84	1431
56	86	1423
57	87	1414
58	88	1403
59	89	1399
60	90	1397
61	92	1396
62	93	1386
63	94	1379
64	96	1387
65	97	1386
66	99	1387
67	101	1389
68	103	1393
69	105	1396
70	106	1396
71	108	1395
72	111	1411
73	113	1420
74	115	1421
75	116	1422
76	119	1427
77	120	1424
78	122	1429
79	124	1437
80	126	1435
81	127	1432
82	129	1425
83	130	1421
84	131	1415
85	132	1409
86	133	1402
87	134	1395
88	135	1391
89	137	1385
90	137	1378
91	138	1371
92	140	1365
93	140	1358
94	142	1355
95	143	1350
96	144	1346
97	145	1342
98	146	1336
99	147	1331
100	149	1328
101	150	1322
102	151	1320
103	152	1317
104	153	1311
105	155	1308
106	156	1304
107	157	1301
108	158	1297
109	159	1292
110	160	1285
111	161	1279
112	162	1275
113	163	1271
114	165	1270
115	166	1265
116	166	1259
117	167	1252
118	168	1248
119	169	1245
120	171	1242
121	172	1238
122	173	1233
123	174	1229
124	174	1224
125	176	1220
126	177	1217
127	178	1213
128	179	1210
129	180	1206
130	181	1202
131	182	1202
132	184	1202
133	185	1201
134	187	1200
135	188	1197
136	190	1197
137	191	1194
138	192	1191
139	193	1187
140	194	1183
141	195	1180
142	196	1180
143	197	1176
144	199	1174
145	200	1170
146	201	1167
147	202	1167
148	204	1166
149	205	1165
150	207	1164
151	208	1163
152	210	1163
153	211	1159
154	212	1157
155	213	1155
156	214	1153
157	216	1155
158	218	1156
159	220	1156
160	222	1157
161	223	1157
162	224	1154
163	225	1151
164	226	1148
165	228	1146
166	229	1146
167	231	1144
168	232	1141
169	233	1137
170	234	1138
171	236	1137
172	237	1136
173	239	1135
174	240	1133
175	242	1133
176	243	1134
177	245	1132
178	246	1132
179	248	1132
180	250	1132
181	251	1130
182	252	1128
183	254	1127
184	256	1128
185	257	1125
186	258	1124
187	259	1122
188	261	1121
189	263	1121
190	264	1121
191	265	1118
192	267	1116
193	268	1116
194	269	1112
195	271	1112
196	272	1109
197	273	1106
198	274	1106
199	276	1104
200	277	1103
201	278	1100
202	279	1098
203	281	1098
204	283	1098
205	284	1097
206	286	1096
207	287	1094
208	289	1094
209	290	1093
210	291	1091
211	292	1088
212	294	1088
213	297	1093
214	300	1097
215	303	1099
216	304	1100
217	306	1099
218	308	1101
219	310	1101
220	312	1100
221	313	1099
222	315	1098
223	316	1096
224	318	1096
225	320	1095
226	322	1097
227	323	1096
228	326	1098
229	327	1097
230	328	1095
231	330	1093
232	331	1090
233	332	1087
234	333	1087
235	335	1086
236	337	1085
237	338	1083
238	339	1082
239	341	1082
240	343	1082
241	344	1079
242	346	1077
243	347	1076
244	348	1075
245	350	1073
246	351	1071
247	353	1071
248	355	1071
249	356	1070
250	358	1069
251	360	1068
252	361	1067
253	363	1066
254	364	1064
255	365	1063
256	367	1062
257	369	1061
258	370	1061
259	372	1060
260	374	1060
261	376	1059
262	378	1059
263	379	1058
264	381	1057
265	382	1056
266	384	1055
267	385	1053
268	387	1052
269	388	1051
270	390	1050
271	391	1048
272	393	1048
273	395	1047
274	396	1046
275	398	1045
276	400	1045
277	402	1044
278	403	1041
279	404	1040
280	405	1037
281	407	1038
282	409	1037
283	410	1035
284	412	1034
285	413	1033
286	415	1032
287	416	1029
288	418	1028
289	419	1027
290	422	1029
291	423	1027
292	425	1027
293	429	1030
294	431	1030
295	434	1034
296	437	1035
297	440	1038
298	443	1040
299	446	1040
300	449	1042
301	450	1041
302	453	1043
303	455	1042
304	456	1040
305	458	1039
306	460	1040
307	462	1038
308	463	1036
309	464	1034
310	466	1033
311	468	1033
312	470	1032
313	473	1034
314	475	1033
315	476	1031
316	477	1028
317	479	1028
318	480	1026
319	482	1024
320	483	1023
321	486	1023
322	487	1021
323	488	1019
324	490	1017
325	491	1015
326	493	1015
327	494	1013
328	495	1011
329	496	1008
330	499	1008
331	500	1006
332	501	1004
333	502	1001
334	503	999
335	505	999
336	507	997
337	508	995
338	509	993
339	511	992
340	513	993
341	515	991
342	516	988
343	518	987
344	519	986
345	521	985
346	523	984
347	524	982
348	526	981
349	527	980
350	529	978
351	530	976
352	532	975
353	533	973
354	535	972
355	536	970
356	538	969
357	539	967
358	541	966
359	542	964
360	544	962
361	545	961
362	547	960
363	548	958
364	550	957
365	552	956
366	553	954
367	554	953
368	556	951
369	557	949
370	559	947
371	560	946
372	561	944
373	563	943
374	565	941
375	567	940
376	568	939
377	569	937
378	571	936
379	573	934
380	574	933
381	576	932
382	578	931
383	579	929
384	581	928
385	582	926
386	584	925
387	585	923
388	587	922
389	589	922
390	590	920
391	592	919
392	594	918
393	596	916
394	598	916
395	600	915
396	601	913
397	603	912
398	604	910
399	605	908
400	607	907
401	608	905
402	610	904
403	611	902
404	612	900
405	613	898
406	615	896
407	617	895
408	618	894
409	620	892
410	621	891
411	623	889
412	624	887
413	626	886
414	627	884
415	629	883
416	630	881
417	632	880
418	633	878
419	635	877
420	637	876
421	638	874
422	640	873
423	642	872
424	643	871
425	645	869
426	646	867
427	648	866
428	649	864
429	650	862
430	652	861
431	654	860
432	655	858
433	657	856
434	658	855
435	660	853
436	661	852
437	662	850
438	664	849
439	666	848
440	667	846
441	669	844
442	670	843
443	671	841
444	673	840
445	675	838
446	676	837
447	678	835
448	680	834
449	681	833
450	683	832
451	685	831
452	687	830
453	688	828
454	690	826
455	692	825
456	693	824
457	694	822
458	696	820
459	697	818
460	699	817
461	700	815
462	701	814
463	703	812
464	705	811
465	706	810
466	708	808
467	710	807
468	712	806
469	713	804
470	719	807
471	721	806
